"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Large Central Metro"	"1"	"< 1 year"	"1"	"Female"	"F"	"2017"	"2017"	3132	638961	490.2
	"Large Central Metro"	"1"	"< 1 year"	"1"	"Female"	"F"	"2018"	"2018"	2956	622673	474.7
	"Large Central Metro"	"1"	"< 1 year"	"1"	"Female"	"F"	"2019"	"2019"	2972	607547	489.2
	"Large Central Metro"	"1"	"< 1 year"	"1"	"Male"	"M"	"2017"	"2017"	4015	668442	600.7
	"Large Central Metro"	"1"	"< 1 year"	"1"	"Male"	"M"	"2018"	"2018"	3835	651393	588.7
	"Large Central Metro"	"1"	"< 1 year"	"1"	"Male"	"M"	"2019"	"2019"	3558	635403	560.0
	"Large Central Metro"	"1"	"1-4 years"	"1-4"	"Female"	"F"	"2017"	"2017"	442	2505702	17.6
	"Large Central Metro"	"1"	"1-4 years"	"1-4"	"Female"	"F"	"2018"	"2018"	446	2490512	17.9
	"Large Central Metro"	"1"	"1-4 years"	"1-4"	"Female"	"F"	"2019"	"2019"	490	2453208	20.0
	"Large Central Metro"	"1"	"1-4 years"	"1-4"	"Male"	"M"	"2017"	"2017"	641	2621109	24.5
	"Large Central Metro"	"1"	"1-4 years"	"1-4"	"Male"	"M"	"2018"	"2018"	627	2605857	24.1
	"Large Central Metro"	"1"	"1-4 years"	"1-4"	"Male"	"M"	"2019"	"2019"	587	2565645	22.9
	"Large Central Metro"	"1"	"5-14 years"	"5-14"	"Female"	"F"	"2017"	"2017"	604	6124793	9.9
	"Large Central Metro"	"1"	"5-14 years"	"5-14"	"Female"	"F"	"2018"	"2018"	697	6116345	11.4
	"Large Central Metro"	"1"	"5-14 years"	"5-14"	"Female"	"F"	"2019"	"2019"	605	6090955	9.9
	"Large Central Metro"	"1"	"5-14 years"	"5-14"	"Male"	"M"	"2017"	"2017"	898	6365362	14.1
	"Large Central Metro"	"1"	"5-14 years"	"5-14"	"Male"	"M"	"2018"	"2018"	871	6361165	13.7
	"Large Central Metro"	"1"	"5-14 years"	"5-14"	"Male"	"M"	"2019"	"2019"	871	6340545	13.7
	"Large Central Metro"	"1"	"15-24 years"	"15-24"	"Female"	"F"	"2017"	"2017"	2322	6434853	36.1
	"Large Central Metro"	"1"	"15-24 years"	"15-24"	"Female"	"F"	"2018"	"2018"	2195	6378470	34.4
	"Large Central Metro"	"1"	"15-24 years"	"15-24"	"Female"	"F"	"2019"	"2019"	2148	6327612	33.9
	"Large Central Metro"	"1"	"15-24 years"	"15-24"	"Male"	"M"	"2017"	"2017"	6988	6584889	106.1
	"Large Central Metro"	"1"	"15-24 years"	"15-24"	"Male"	"M"	"2018"	"2018"	6531	6508992	100.3
