"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Large Central Metro"	"1"	"< 1 year"	"1"	"Female"	"F"	"2017"	"2017"	3132	638961	490.2
	"Large Central Metro"	"1"	"< 1 year"	"1"	"Female"	"F"	"2018"	"2018"	2956	622673	474.7
	"Large Central Metro"	"1"	"< 1 year"	"1"	"Female"	"F"	"2019"	"2019"	2972	607547	489.2
	"Large Central Metro"	"1"	"< 1 year"	"1"	"Male"	"M"	"2017"	"2017"	4015	668442	600.7
	"Large Central Metro"	"1"	"< 1 year"	"1"	"Male"	"M"	"2018"	"2018"	3835	651393	588.7
	"Large Central Metro"	"1"	"< 1 year"	"1"	"Male"	"M"	"2019"	"2019"	3558	635403	560.0
	"Large Central Metro"	"1"	"1-4 years"	"1-4"	"Female"	"F"	"2017"	"2017"	442	2505702	17.6
	"Large Central Metro"	"1"	"1-4 years"	"1-4"	"Female"	"F"	"2018"	"2018"	446	2490512	17.9
	"Large Central Metro"	"1"	"1-4 years"	"1-4"	"Female"	"F"	"2019"	"2019"	490	2453208	20.0
	"Large Central Metro"	"1"	"1-4 years"	"1-4"	"Male"	"M"	"2017"	"2017"	641	2621109	24.5
	"Large Central Metro"	"1"	"1-4 years"	"1-4"	"Male"	"M"	"2018"	"2018"	627	2605857	24.1
	"Large Central Metro"	"1"	"1-4 years"	"1-4"	"Male"	"M"	"2019"	"2019"	587	2565645	22.9
	"Large Central Metro"	"1"	"5-9 years"	"5-9"	"Female"	"F"	"2017"	"2017"	278	3073065	9.0
	"Large Central Metro"	"1"	"5-9 years"	"5-9"	"Female"	"F"	"2018"	"2018"	327	3053904	10.7
	"Large Central Metro"	"1"	"5-9 years"	"5-9"	"Female"	"F"	"2019"	"2019"	291	3045425	9.6
	"Large Central Metro"	"1"	"5-9 years"	"5-9"	"Male"	"M"	"2017"	"2017"	365	3198978	11.4
	"Large Central Metro"	"1"	"5-9 years"	"5-9"	"Male"	"M"	"2018"	"2018"	374	3180178	11.8
	"Large Central Metro"	"1"	"5-9 years"	"5-9"	"Male"	"M"	"2019"	"2019"	377	3174341	11.9
	"Large Central Metro"	"1"	"10-14 years"	"10-14"	"Female"	"F"	"2017"	"2017"	326	3051728	10.7
	"Large Central Metro"	"1"	"10-14 years"	"10-14"	"Female"	"F"	"2018"	"2018"	370	3062441	12.1
	"Large Central Metro"	"1"	"10-14 years"	"10-14"	"Female"	"F"	"2019"	"2019"	314	3045530	10.3
	"Large Central Metro"	"1"	"10-14 years"	"10-14"	"Male"	"M"	"2017"	"2017"	533	3166384	16.8
	"Large Central Metro"	"1"	"10-14 years"	"10-14"	"Male"	"M"	"2018"	"2018"	497	3180987	15.6
