urbanization,ageGroup,startAge,sex,year,deaths,pop
Large Central Metro,1,0,Female,2017,3132,638961
Large Central Metro,1-4,1,Female,2017,442,2505702
Large Central Metro,5-9,5,Female,2017,278,3073065
Large Central Metro,10-14,10,Female,2017,326,3051728
Large Central Metro,15-19,15,Female,2017,777,3064619
Large Central Metro,20-24,20,Female,2017,1545,3370234
Large Central Metro,25-29,25,Female,2017,2250,4251482
Large Central Metro,30-34,30,Female,2017,2829,3922755
Large Central Metro,35-39,35,Female,2017,3709,3586562
Large Central Metro,40-44,40,Female,2017,4618,3257801
Large Central Metro,45-49,45,Female,2017,7158,3345724
Large Central Metro,50-54,50,Female,2017,11147,3281218
Large Central Metro,55-59,55,Female,2017,16889,3288456
Large Central Metro,60-64,60,Female,2017,22112,2968913
Large Central Metro,65-69,65,Female,2017,26527,2461683
Large Central Metro,70-74,70,Female,2017,30462,1850504
Large Central Metro,75-79,75,Female,2017,35528,1304361
Large Central Metro,80-84,80,Female,2017,44730,945369
Large Central Metro,85+,85,Female,2017,141723,1182345
Large Central Metro,1,0,Female,2018,2956,622673
Large Central Metro,1-4,1,Female,2018,446,2490512
Large Central Metro,5-9,5,Female,2018,327,3053904
Large Central Metro,10-14,10,Female,2018,370,3062441
Large Central Metro,15-19,15,Female,2018,769,3055099
Large Central Metro,20-24,20,Female,2018,1426,3323371
Large Central Metro,25-29,25,Female,2018,2256,4246348
Large Central Metro,30-34,30,Female,2018,2832,3958132
Large Central Metro,35-39,35,Female,2018,3757,3632535
Large Central Metro,40-44,40,Female,2018,4468,3253278
Large Central Metro,45-49,45,Female,2018,7005,3317180
Large Central Metro,50-54,50,Female,2018,10506,3213591
Large Central Metro,55-59,55,Female,2018,16620,3274778
Large Central Metro,60-64,60,Female,2018,22180,3007908
Large Central Metro,65-69,65,Female,2018,26525,2500080
Large Central Metro,70-74,70,Female,2018,31233,1932598
Large Central Metro,75-79,75,Female,2018,36929,1367810
Large Central Metro,80-84,80,Female,2018,44834,963974
Large Central Metro,85+,85,Female,2018,141398,1188580
Large Central Metro,1,0,Female,2019,2972,607547
Large Central Metro,1-4,1,Female,2019,490,2453208
Large Central Metro,5-9,5,Female,2019,291,3045425
Large Central Metro,10-14,10,Female,2019,314,3045530
Large Central Metro,15-19,15,Female,2019,730,3050846
Large Central Metro,20-24,20,Female,2019,1418,3276766
Large Central Metro,25-29,25,Female,2019,2177,4208023
Large Central Metro,30-34,30,Female,2019,2936,4013306
Large Central Metro,35-39,35,Female,2019,3826,3655614
Large Central Metro,40-44,40,Female,2019,4661,3268440
Large Central Metro,45-49,45,Female,2019,6897,3272648
Large Central Metro,50-54,50,Female,2019,10230,3166554
Large Central Metro,55-59,55,Female,2019,15989,3262888
Large Central Metro,60-64,60,Female,2019,22254,3032407
Large Central Metro,65-69,65,Female,2019,26647,2553163
Large Central Metro,70-74,70,Female,2019,32477,2026602
Large Central Metro,75-79,75,Female,2019,37220,1420720
Large Central Metro,80-84,80,Female,2019,44268,991655
Large Central Metro,85+,85,Female,2019,139011,1191319
Large Central Metro,1,0,Male,2017,4015,668442
Large Central Metro,1-4,1,Male,2017,641,2621109
Large Central Metro,5-9,5,Male,2017,365,3198978
Large Central Metro,10-14,10,Male,2017,533,3166384
Large Central Metro,15-19,15,Male,2017,2289,3163053
Large Central Metro,20-24,20,Male,2017,4699,3421836
Large Central Metro,25-29,25,Male,2017,6213,4275375
Large Central Metro,30-34,30,Male,2017,6453,3963926
Large Central Metro,35-39,35,Male,2017,7051,3563107
Large Central Metro,40-44,40,Male,2017,7877,3175211
Large Central Metro,45-49,45,Male,2017,11719,3261016
Large Central Metro,50-54,50,Male,2017,18117,3166461
Large Central Metro,55-59,55,Male,2017,26977,3084922
Large Central Metro,60-64,60,Male,2017,33737,2653839
Large Central Metro,65-69,65,Male,2017,36652,2097967
Large Central Metro,70-74,70,Male,2017,38017,1509195
Large Central Metro,75-79,75,Male,2017,38349,983467
Large Central Metro,80-84,80,Male,2017,41378,647103
Large Central Metro,85+,85,Male,2017,85872,629103
Large Central Metro,1,0,Male,2018,3835,651393
Large Central Metro,1-4,1,Male,2018,627,2605857
Large Central Metro,5-9,5,Male,2018,374,3180178
Large Central Metro,10-14,10,Male,2018,497,3180987
Large Central Metro,15-19,15,Male,2018,2124,3150084
Large Central Metro,20-24,20,Male,2018,4407,3358908
Large Central Metro,25-29,25,Male,2018,5992,4282553
Large Central Metro,30-34,30,Male,2018,6303,4015827
