year,urbanization,sex,age_group,x,nDx,nEx
2017,Large Central Metro,Female,1,0,3132,638961
2017,Large Central Metro,Female,1-4,1,442,2505702
2017,Large Central Metro,Female,5-9,5,278,3073065
2017,Large Central Metro,Female,10-14,10,326,3051728
2017,Large Central Metro,Female,15-19,15,777,3064619
2017,Large Central Metro,Female,20-24,20,1545,3370234
2017,Large Central Metro,Female,25-29,25,2250,4251482
2017,Large Central Metro,Female,30-34,30,2829,3922755
2017,Large Central Metro,Female,35-39,35,3709,3586562
2017,Large Central Metro,Female,40-44,40,4618,3257801
2017,Large Central Metro,Female,45-49,45,7158,3345724
2017,Large Central Metro,Female,50-54,50,11147,3281218
2017,Large Central Metro,Female,55-59,55,16889,3288456
2017,Large Central Metro,Female,60-64,60,22112,2968913
2017,Large Central Metro,Female,65-69,65,26527,2461683
2017,Large Central Metro,Female,70-74,70,30462,1850504
2017,Large Central Metro,Female,75-79,75,35528,1304361
2017,Large Central Metro,Female,80-84,80,44730,945369
2017,Large Central Metro,Female,85+,85,141723,1182345
2018,Large Central Metro,Female,1,0,2956,622673
2018,Large Central Metro,Female,1-4,1,446,2490512
2018,Large Central Metro,Female,5-9,5,327,3053904
2018,Large Central Metro,Female,10-14,10,370,3062441
2018,Large Central Metro,Female,15-19,15,769,3055099
2018,Large Central Metro,Female,20-24,20,1426,3323371
2018,Large Central Metro,Female,25-29,25,2256,4246348
2018,Large Central Metro,Female,30-34,30,2832,3958132
2018,Large Central Metro,Female,35-39,35,3757,3632535
2018,Large Central Metro,Female,40-44,40,4468,3253278
2018,Large Central Metro,Female,45-49,45,7005,3317180
2018,Large Central Metro,Female,50-54,50,10506,3213591
2018,Large Central Metro,Female,55-59,55,16620,3274778
2018,Large Central Metro,Female,60-64,60,22180,3007908
2018,Large Central Metro,Female,65-69,65,26525,2500080
2018,Large Central Metro,Female,70-74,70,31233,1932598
2018,Large Central Metro,Female,75-79,75,36929,1367810
2018,Large Central Metro,Female,80-84,80,44834,963974
2018,Large Central Metro,Female,85+,85,141398,1188580
2019,Large Central Metro,Female,1,0,2972,607547
2019,Large Central Metro,Female,1-4,1,490,2453208
2019,Large Central Metro,Female,5-9,5,291,3045425
2019,Large Central Metro,Female,10-14,10,314,3045530
2019,Large Central Metro,Female,15-19,15,730,3050846
2019,Large Central Metro,Female,20-24,20,1418,3276766
2019,Large Central Metro,Female,25-29,25,2177,4208023
2019,Large Central Metro,Female,30-34,30,2936,4013306
2019,Large Central Metro,Female,35-39,35,3826,3655614
2019,Large Central Metro,Female,40-44,40,4661,3268440
2019,Large Central Metro,Female,45-49,45,6897,3272648
2019,Large Central Metro,Female,50-54,50,10230,3166554
2019,Large Central Metro,Female,55-59,55,15989,3262888
2019,Large Central Metro,Female,60-64,60,22254,3032407
2019,Large Central Metro,Female,65-69,65,26647,2553163
2019,Large Central Metro,Female,70-74,70,32477,2026602
2019,Large Central Metro,Female,75-79,75,37220,1420720
2019,Large Central Metro,Female,80-84,80,44268,991655
2019,Large Central Metro,Female,85+,85,139011,1191319
2017,Large Central Metro,Male,1,0,4015,668442
2017,Large Central Metro,Male,1-4,1,641,2621109
2017,Large Central Metro,Male,5-9,5,365,3198978
2017,Large Central Metro,Male,10-14,10,533,3166384
2017,Large Central Metro,Male,15-19,15,2289,3163053
2017,Large Central Metro,Male,20-24,20,4699,3421836
2017,Large Central Metro,Male,25-29,25,6213,4275375
2017,Large Central Metro,Male,30-34,30,6453,3963926
2017,Large Central Metro,Male,35-39,35,7051,3563107
2017,Large Central Metro,Male,40-44,40,7877,3175211
2017,Large Central Metro,Male,45-49,45,11719,3261016
2017,Large Central Metro,Male,50-54,50,18117,3166461
2017,Large Central Metro,Male,55-59,55,26977,3084922
2017,Large Central Metro,Male,60-64,60,33737,2653839
2017,Large Central Metro,Male,65-69,65,36652,2097967
2017,Large Central Metro,Male,70-74,70,38017,1509195
2017,Large Central Metro,Male,75-79,75,38349,983467
2017,Large Central Metro,Male,80-84,80,41378,647103
2017,Large Central Metro,Male,85+,85,85872,629103
2018,Large Central Metro,Male,1,0,3835,651393
2018,Large Central Metro,Male,1-4,1,627,2605857
2018,Large Central Metro,Male,5-9,5,374,3180178
2018,Large Central Metro,Male,10-14,10,497,3180987
2018,Large Central Metro,Male,15-19,15,2124,3150084
2018,Large Central Metro,Male,20-24,20,4407,3358908
2018,Large Central Metro,Male,25-29,25,5992,4282553
2018,Large Central Metro,Male,30-34,30,6303,4015827
2018,Large Central Metro,Male,35-39,35,7190,3620791
2018,Large Central Metro,Male,40-44,40,7952,3175015
2018,Large Central Metro,Male,45-49,45,11778,3221373
2018,Large Central Metro,Male,50-54,50,17454,3108835
2018,Large Central Metro,Male,55-59,55,26952,3080760
2018,Large Central Metro,Male,60-64,60,34599,2702409
2018,Large Central Metro,Male,65-69,65,37514,2129195
2018,Large Central Metro,Male,70-74,70,39604,1580578
2018,Large Central Metro,Male,75-79,75,40284,1036201
2018,Large Central Metro,Male,80-84,80,41927,664122
2018,Large Central Metro,Male,85+,85,86149,639078
2019,Large Central Metro,Male,1,0,3558,635403
2019,Large Central Metro,Male,1-4,1,587,2565645
2019,Large Central Metro,Male,5-9,5,377,3174341
2019,Large Central Metro,Male,10-14,10,494,3166204
2019,Large Central Metro,Male,15-19,15,2168,3140707
2019,Large Central Metro,Male,20-24,20,4422,3296213
2019,Large Central Metro,Male,25-29,25,6095,4249401
2019,Large Central Metro,Male,30-34,30,6749,4084674
2019,Large Central Metro,Male,35-39,35,7413,3654737
2019,Large Central Metro,Male,40-44,40,8270,3194769
2019,Large Central Metro,Male,45-49,45,11416,3164763
2019,Large Central Metro,Male,50-54,50,17007,3065002
2019,Large Central Metro,Male,55-59,55,26484,3079712
2019,Large Central Metro,Male,60-64,60,34725,2738894
2019,Large Central Metro,Male,65-69,65,38275,2176428
2019,Large Central Metro,Male,70-74,70,40951,1657976
2019,Large Central Metro,Male,75-79,75,41195,1079094
2019,Large Central Metro,Male,80-84,80,42520,687382
2019,Large Central Metro,Male,85+,85,85761,651063
2017,Large Fringe Metro,Female,1,0,2085,454019
